region,eval_year,n_calib,window,option_type,index_type,spearman_rho,S,z_star,premium_EUR_ha,idx_mean_calib,idx_std_calib,actual_index,index_vs_S,payoff_EUR_ha,in_money,rev_unhedged,rev_hedged,net_benefit,better_off,perfect_hedge,rev_hedged_perfect,net_benefit_perfect,xgb_hedge_t0.0,rev_hedged_t0.0,net_benefit_t0.0,xgb_hedge_t0.5,rev_hedged_t0.5,net_benefit_t0.5,xgb_hedge_t1.0,rev_hedged_t1.0,net_benefit_t1.0,xgb_z_cont,rev_hedged_cont,net_benefit_cont,xgb_forecast,xgb_anomaly_z
32,2021,21,JanFebMarAprMayJunJul,call,cat,-0.3929,2280.73,0.0,70.9,2280.73,189.33,2122.6,-158.13,0.0,False,1324.11,1324.11,-0.0,False,False,1324.11,0.0,True,1324.11,-0.0,False,1324.11,0.0,False,1324.11,0.0,0.0,1324.11,-0.0,2282.93,0.012
44,2021,21,Apr,put,cat,0.2805,317.73,4.3738,17.69,317.73,46.58,242.99,-74.74,74.74,True,1005.27,1254.8,249.53,True,True,1254.8,249.53,False,1005.27,0.0,False,1005.27,0.0,False,1005.27,0.0,0.0,1005.27,-0.0,332.11,0.309
52,2021,21,AprMay,call,cat,-0.4558,787.94,1.8075,21.1,787.94,58.85,696.48,-91.47,0.0,False,1073.7,1035.56,-38.14,False,False,1073.7,0.0,True,1035.56,-38.14,False,1073.7,0.0,False,1073.7,0.0,0.6502,1059.98,-13.72,809.11,0.36
53,2021,21,May,call,cat,-0.4416,410.66,1.8956,8.08,410.66,23.59,356.35,-54.31,0.0,False,1184.78,1169.46,-15.32,False,False,1184.78,0.0,True,1169.46,-15.32,False,1184.78,0.0,False,1184.78,0.0,0.7945,1178.36,-6.42,420.55,0.419
11,2022,22,MayJun,put,hdd,0.4704,158.86,0.5171,14.85,158.86,39.83,91.19,-67.67,67.67,True,1374.73,1402.04,27.31,True,True,1402.04,27.31,True,1402.04,27.31,True,1402.04,27.31,True,1402.04,27.31,0.5171,1402.04,27.31,97.06,-1.552
24,2022,22,May,call,cat,-0.3337,437.84,0.0,15.02,437.84,37.37,511.67,73.83,73.83,True,1129.55,1129.55,0.0,True,True,1129.55,0.0,True,1129.55,0.0,False,1129.55,0.0,False,1129.55,0.0,0.0,1129.55,-0.0,451.68,0.37
27,2022,22,FebMarAprMayJunJul,put,cat,0.9643,2346.54,1.5228,50.7,2346.54,130.84,2532.84,186.29,0.0,False,1067.54,990.34,-77.2,False,False,1067.54,0.0,True,990.34,-77.2,False,1067.54,0.0,False,1067.54,0.0,0.3511,1049.74,-17.8,2316.38,-0.231
28,2022,22,Jan,call,cat,-0.3303,167.91,1.1169,17.64,167.91,47.58,179.16,11.24,11.24,True,1559.0,1551.85,-7.15,False,False,1559.0,0.0,True,1551.85,-7.15,True,1551.85,-7.15,False,1559.0,0.0,0.631,1554.96,-4.04,194.79,0.565
32,2022,22,AprMayJun,put,cdd,0.2657,23.84,10.0,6.14,23.84,16.62,24.69,0.85,0.0,False,1469.14,1407.75,-61.38,False,False,1469.14,0.0,True,1407.75,-61.38,True,1407.75,-61.38,True,1407.75,-61.38,10.0,1407.75,-61.39,0.0,-1.435
44,2022,22,Mar,call,cat,-0.2095,212.74,2.3559,16.75,212.74,42.9,245.14,32.4,32.4,True,1020.6,1057.47,36.87,True,True,1057.47,36.87,True,1057.47,36.87,False,1020.6,0.0,False,1020.6,0.0,0.7588,1032.48,11.88,226.56,0.322
