cl_ratio,REV,E_hba,E_xgb,E_perfect,p_hba,p_xgb,hedge_hba,hedge_xgb,region
0.4,-0.0,-2635.8645632193475,-2635.8645632193475,-1317.9322816096737,0.5833333333333334,0.4068,1,1,27
0.41000000000000003,-2.627541047531097,-2635.8645632193475,-6098.785731015078,-1317.9322816096737,0.5833333333333334,0.4068,1,0,27
0.42000000000000004,-2.627541047531097,-2635.8645632193475,-6098.785731015078,-1317.9322816096737,0.5833333333333334,0.4068,1,0,27
0.43000000000000005,-2.627541047531097,-2635.8645632193475,-6098.785731015078,-1317.9322816096737,0.5833333333333334,0.4068,1,0,27
0.44,-2.627541047531097,-2635.8645632193475,-6098.785731015078,-1317.9322816096737,0.5833333333333334,0.4068,1,0,27
0.45,-2.627541047531097,-2635.8645632193475,-6098.785731015078,-1317.9322816096737,0.5833333333333334,0.4068,1,0,27
0.46,-2.627541047531097,-2635.8645632193475,-6098.785731015078,-1317.9322816096737,0.5833333333333334,0.4068,1,0,27
0.47000000000000003,-2.627541047531097,-2635.8645632193475,-6098.785731015078,-1317.9322816096737,0.5833333333333334,0.4068,1,0,27
0.48000000000000004,-2.627541047531097,-2635.8645632193475,-6098.785731015078,-1317.9322816096737,0.5833333333333334,0.4068,1,0,27
0.49000000000000005,-2.627541047531097,-2635.8645632193475,-6098.785731015078,-1317.9322816096737,0.5833333333333334,0.4068,1,0,27
0.5,-2.627541047531097,-2635.8645632193475,-6098.785731015078,-1317.9322816096737,0.5833333333333334,0.4068,1,0,27
0.02,-0.0,-1871.5210997917054,-1871.5210997917054,-935.7605498958527,0.48,0.7872,1,1,28
0.03,-0.0,-1871.5210997917054,-1871.5210997917054,-935.7605498958527,0.48,0.7872,1,1,28
0.04,-0.0,-1871.5210997917054,-1871.5210997917054,-935.7605498958527,0.48,0.7872,1,1,28
0.05,-0.0,-1871.5210997917054,-1871.5210997917054,-935.7605498958527,0.48,0.7872,1,1,28
0.06,-0.0,-1871.5210997917054,-1871.5210997917054,-935.7605498958527,0.48,0.7872,1,1,28
0.07,-0.0,-1871.5210997917054,-1871.5210997917054,-935.7605498958527,0.48,0.7872,1,1,28
0.08,-0.0,-1871.5210997917054,-1871.5210997917054,-935.7605498958527,0.48,0.7872,1,1,28
0.09000000000000001,-0.0,-1871.5210997917054,-1871.5210997917054,-935.7605498958527,0.48,0.7872,1,1,28
0.1,-0.0,-1871.5210997917054,-1871.5210997917054,-935.7605498958527,0.48,0.7872,1,1,28
0.11,-0.0,-1871.5210997917054,-1871.5210997917054,-935.7605498958527,0.48,0.7872,1,1,28
0.12000000000000001,-0.0,-1871.5210997917054,-1871.5210997917054,-935.7605498958527,0.48,0.7872,1,1,28
0.13,-0.0,-1871.5210997917054,-1871.5210997917054,-935.7605498958527,0.48,0.7872,1,1,28
0.13999999999999999,-0.0,-1871.5210997917054,-1871.5210997917054,-935.7605498958527,0.48,0.7872,1,1,28
0.15,-0.0,-1871.5210997917054,-1871.5210997917054,-935.7605498958527,0.48,0.7872,1,1,28
0.16,-0.0,-1871.5210997917054,-1871.5210997917054,-935.7605498958527,0.48,0.7872,1,1,28
0.16999999999999998,-0.0,-1871.5210997917054,-1871.5210997917054,-935.7605498958527,0.48,0.7872,1,1,28
0.18,-0.0,-1871.5210997917054,-1871.5210997917054,-935.7605498958527,0.48,0.7872,1,1,28
0.19,-0.0,-1871.5210997917054,-1871.5210997917054,-935.7605498958527,0.48,0.7872,1,1,28
0.19999999999999998,-0.0,-1871.5210997917054,-1871.5210997917054,-935.7605498958527,0.48,0.7872,1,1,28
0.21,-0.0,-1871.5210997917054,-1871.5210997917054,-935.7605498958527,0.48,0.7872,1,1,28
0.22,-0.0,-1871.5210997917054,-1871.5210997917054,-935.7605498958527,0.48,0.7872,1,1,28
0.22999999999999998,-0.0,-1871.5210997917054,-1871.5210997917054,-935.7605498958527,0.48,0.7872,1,1,28
0.24,-0.0,-1871.5210997917054,-1871.5210997917054,-935.7605498958527,0.48,0.7872,1,1,28
0.25,-0.0,-1871.5210997917054,-1871.5210997917054,-935.7605498958527,0.48,0.7872,1,1,28
0.26,-0.0,-1871.5210997917054,-1871.5210997917054,-935.7605498958527,0.48,0.7872,1,1,28
0.27,-0.0,-1871.5210997917054,-1871.5210997917054,-935.7605498958527,0.48,0.7872,1,1,28
0.28,-0.0,-1871.5210997917054,-1871.5210997917054,-935.7605498958527,0.48,0.7872,1,1,28
0.29000000000000004,-0.0,-1871.5210997917054,-1871.5210997917054,-935.7605498958527,0.48,0.7872,1,1,28
0.30000000000000004,-0.0,-1871.5210997917054,-1871.5210997917054,-935.7605498958527,0.48,0.7872,1,1,28
0.31,-0.0,-1871.5210997917054,-1871.5210997917054,-935.7605498958527,0.48,0.7872,1,1,28
0.32,-0.0,-1871.5210997917054,-1871.5210997917054,-935.7605498958527,0.48,0.7872,1,1,28
0.33,-0.0,-1871.5210997917054,-1871.5210997917054,-935.7605498958527,0.48,0.7872,1,1,28
0.34,-0.0,-1871.5210997917054,-1871.5210997917054,-935.7605498958527,0.48,0.7872,1,1,28
0.35000000000000003,-0.0,-1871.5210997917054,-1871.5210997917054,-935.7605498958527,0.48,0.7872,1,1,28
0.36000000000000004,-0.0,-1871.5210997917054,-1871.5210997917054,-935.7605498958527,0.48,0.7872,1,1,28
0.37000000000000005,-0.0,-1871.5210997917054,-1871.5210997917054,-935.7605498958527,0.48,0.7872,1,1,28
0.38,-0.0,-1871.5210997917054,-1871.5210997917054,-935.7605498958527,0.48,0.7872,1,1,28
0.39,-0.0,-1871.5210997917054,-1871.5210997917054,-935.7605498958527,0.48,0.7872,1,1,28
0.4,-0.0,-1871.5210997917054,-1871.5210997917054,-935.7605498958527,0.48,0.7872,1,1,28
0.41000000000000003,-0.0,-1871.5210997917054,-1871.5210997917054,-935.7605498958527,0.48,0.7872,1,1,28
0.42000000000000004,-0.0,-1871.5210997917054,-1871.5210997917054,-935.7605498958527,0.48,0.7872,1,1,28
0.43000000000000005,-0.0,-1871.5210997917054,-1871.5210997917054,-935.7605498958527,0.48,0.7872,1,1,28
0.44,-0.0,-1871.5210997917054,-1871.5210997917054,-935.7605498958527,0.48,0.7872,1,1,28
0.45,-0.0,-1871.5210997917054,-1871.5210997917054,-935.7605498958527,0.48,0.7872,1,1,28
0.46,-0.0,-1871.5210997917054,-1871.5210997917054,-935.7605498958527,0.48,0.7872,1,1,28
0.47000000000000003,-0.0,-1871.5210997917054,-1871.5210997917054,-935.7605498958527,0.48,0.7872,1,1,28
0.48000000000000004,6.079128248743484,-751.5241014211861,-1871.5210997917054,-935.7605498958527,0.48,0.7872,0,1,28
