region,year,contract,itype,model,timing,Y_actual,Y_pred,delta,delta_sq
52,2017,January,HDD,Benth,180,438.7217261904762,361.60786943925814,-0.17576940495018517,0.030894883716542178
52,2017,January,HDD,HBA,mid,438.7217261904762,397.7273839285715,-0.09344041978013765,0.008731112048688339
52,2017,January,HDD,Alaton,mid,438.7217261904762,389.3402784578401,-0.112557561626653,0.012669204679337787
52,2017,January,HDD,Benth,mid,438.7217261904762,392.1199272629571,-0.1062217714453612,0.011283064728990553
52,2018,January,HDD,HBA,180,290.8252976190476,370.45125297619046,0.2737930847454852,0.07496265325444844
52,2018,January,HDD,Alaton,180,290.8252976190476,361.36365191235876,0.24254545553911694,0.058828298002677755
52,2018,January,HDD,Benth,180,290.8252976190476,359.5783426093631,0.23640668660253625,0.05588812147038979
52,2018,January,HDD,HBA,mid,290.8252976190476,344.9600178571428,0.1861417169733506,0.03464873879778696
52,2018,January,HDD,Alaton,mid,290.8252976190476,327.8532042281499,0.12732010217902423,0.01621040841887717
52,2018,January,HDD,Benth,mid,290.8252976190476,331.3778799338099,0.13943966582949105,0.019443420406640134
52,2019,January,HDD,HBA,180,389.57053571428565,367.08751785714287,-0.05771231598898953,0.0033307114168129766
52,2019,January,HDD,Alaton,180,389.57053571428565,360.02851343902694,-0.07583228085022602,0.0057505348189475555
52,2019,January,HDD,Benth,180,389.57053571428565,358.21356152699974,-0.0804911339862812,0.006478822650397472
52,2019,January,HDD,HBA,mid,389.57053571428565,377.13525595238093,-0.03192048325498842,0.001018917251231996
52,2019,January,HDD,Alaton,mid,389.57053571428565,371.4769506472784,-0.04644495260359541,0.0021571336223502238
52,2019,January,HDD,Benth,mid,389.57053571428565,373.467279078568,-0.04133592035186125,0.001708658311335417
52,2020,January,HDD,HBA,180,321.1632142857143,370.23104464285717,0.1527816019224761,0.023342217885997957
52,2020,January,HDD,Alaton,180,321.1632142857143,359.46663707287524,0.11926466383253143,0.014224060039086729
52,2020,January,HDD,Benth,180,321.1632142857143,357.992939288303,0.11467603811507542,0.013150593717770229
52,2020,January,HDD,HBA,mid,321.1632142857143,335.15954166666666,0.0435801074294297,0.0018992257635606338
52,2020,January,HDD,Alaton,mid,321.1632142857143,311.6212611841761,-0.029710604070145592,0.0008827199942129518
52,2020,January,HDD,Benth,mid,321.1632142857143,317.4347858458883,-0.011609139135433688,0.00013477211146585804
