region,year,date,actual,model,forecast
53,2016,2016-12-23,8.695833333333333,LSTM,7.179253002458239
53,2016,2016-12-24,8.737499999999999,LSTM,7.118546852578279
53,2016,2016-12-25,10.777272727272727,LSTM,7.061273449670183
53,2016,2016-12-26,8.704545454545455,LSTM,6.991470779345058
53,2016,2016-12-27,4.575,LSTM,6.9161927760284
53,2016,2016-12-28,4.7250000000000005,LSTM,6.786125006247188
53,2016,2016-12-29,3.8791666666666664,LSTM,6.579875616893216
53,2016,2016-12-30,2.4875,LSTM,6.339609789203781
53,2016,2016-12-31,2.216666666666667,LSTM,6.162798943861124
53,2016,2016-01-01,7.968181818181819,FeedForwardNN,8.645781310927955
53,2016,2016-01-02,8.105,FeedForwardNN,8.888206230873132
53,2016,2016-01-03,9.11875,FeedForwardNN,8.74078329298303
53,2016,2016-01-04,8.533333333333333,FeedForwardNN,8.560404904001395
53,2016,2016-01-05,8.695454545454545,FeedForwardNN,8.440756055021675
53,2016,2016-01-06,9.133333333333333,FeedForwardNN,8.23104819505406
53,2016,2016-01-07,9.125,FeedForwardNN,8.183905444131595
53,2016,2016-01-08,8.33,FeedForwardNN,8.368350060574524
53,2016,2016-01-09,7.775,FeedForwardNN,8.290906078093235
53,2016,2016-01-10,7.908333333333334,FeedForwardNN,7.860552371798903
53,2016,2016-01-11,7.913636363636363,FeedForwardNN,7.644465738833533
53,2016,2016-01-12,7.283333333333334,FeedForwardNN,7.800822058191441
53,2016,2016-01-13,6.008333333333333,FeedForwardNN,7.985568362058389
53,2016,2016-01-14,6.291666666666667,FeedForwardNN,7.949085951035478
53,2016,2016-01-15,5.141666666666667,FeedForwardNN,7.996064037939977
53,2016,2016-01-16,5.370833333333334,FeedForwardNN,8.345878473433162
53,2016,2016-01-17,5.2749999999999995,FeedForwardNN,8.222210277778375
53,2016,2016-01-18,5.195833333333334,FeedForwardNN,7.68129881734623
53,2016,2016-01-19,3.995833333333333,FeedForwardNN,7.948761891970612
53,2016,2016-01-20,4.654166666666667,FeedForwardNN,7.692974600893532
53,2016,2016-01-21,4.916666666666667,FeedForwardNN,7.194076255214135
53,2016,2016-01-22,9.081818181818182,FeedForwardNN,6.850892647903647
53,2016,2016-01-23,8.270833333333334,FeedForwardNN,6.501356011395275
53,2016,2016-01-24,12.8625,FeedForwardNN,6.093627065706517
53,2016,2016-01-25,11.020833333333334,FeedForwardNN,6.12814484400368
53,2016,2016-01-26,9.575,FeedForwardNN,6.196041722786004
53,2016,2016-01-27,10.55,FeedForwardNN,6.170067101172302
53,2016,2016-01-28,7.658333333333334,FeedForwardNN,6.262795795741791
53,2016,2016-01-29,9.466666666666669,FeedForwardNN,5.985977090565688
53,2016,2016-01-30,9.822727272727272,FeedForwardNN,5.804692326757254
53,2016,2016-01-31,10.575,FeedForwardNN,6.017804530928261
53,2016,2016-02-01,11.583333333333334,FeedForwardNN,6.170179892221371
53,2016,2016-02-02,9.75,FeedForwardNN,6.262138532643677
53,2016,2016-02-03,7.079166666666667,FeedForwardNN,6.35313047827804
53,2016,2016-02-04,8.595833333333333,FeedForwardNN,6.186734149945268
53,2016,2016-02-05,10.391666666666667,FeedForwardNN,5.635112647158145
53,2016,2016-02-06,9.6,FeedForwardNN,5.240176181163861
