region,year,mo_start,mo_end,yield_detrend,temp_index,strike,payoff,fair_premium,rev_without,rev_with_sd,rev_with_var,z_sd,z_var
28,2018,7,7,8.9254,624.64,558.45,0.0,10.0194,1428.06,1428.06,1403.99,0.0,2.4024
28,2019,7,7,10.0712,592.11,558.45,0.0,10.0194,1611.39,1611.39,1587.32,0.0,2.4024
28,2020,7,7,8.6169,544.84,558.45,13.61,10.0194,1378.71,1378.71,1387.33,0.0,2.4024
28,2021,7,7,7.9627,550.55,558.45,7.89,10.0194,1274.03,1274.03,1268.92,0.0,2.4024
28,2022,7,7,9.9085,604.14,558.45,0.0,10.0194,1585.35,1585.35,1561.28,0.0,2.4024
28,2023,7,7,8.9542,561.78,558.45,0.0,10.0194,1432.68,1432.68,1408.61,0.0,2.4024
28,2024,7,7,7.5,557.67,558.45,0.78,10.0194,1200.0,1200.0,1177.81,0.0,2.4024
32,2000,6,6,8.896,485.11,489.69,0.0,17.4871,1423.35,1423.35,1398.15,0.0,1.4414
32,2001,6,6,8.9358,440.09,489.69,0.0,17.4871,1429.72,1429.72,1404.51,0.0,1.4414
32,2002,6,6,9.2499,481.17,489.69,0.0,17.4871,1479.98,1479.98,1454.77,0.0,1.4414
32,2003,6,6,8.8331,534.22,489.69,44.53,17.4871,1413.29,1413.29,1452.27,0.0,1.4414
32,2004,6,6,9.7985,424.07,489.69,0.0,17.4871,1567.77,1567.77,1542.56,0.0,1.4414
32,2005,6,6,8.7586,508.7,489.69,19.01,17.4871,1401.37,1401.37,1403.56,0.0,1.4414
32,2006,6,6,8.6067,489.78,489.69,0.09,17.4871,1377.07,1377.07,1351.99,0.0,1.4414
32,2007,6,6,7.9733,498.72,489.69,9.03,17.4871,1275.73,1275.73,1263.53,0.0,1.4414
32,2008,6,6,9.4464,454.31,489.69,0.0,17.4871,1511.42,1511.42,1486.22,0.0,1.4414
32,2009,6,6,9.655,459.12,489.69,0.0,17.4871,1544.79,1544.79,1519.59,0.0,1.4414
32,2010,6,6,9.0068,493.63,489.69,3.94,17.4871,1441.09,1441.09,1421.56,0.0,1.4414
32,2011,6,6,8.7778,488.13,489.69,0.0,17.4871,1404.44,1404.44,1379.24,0.0,1.4414
32,2012,6,6,8.8573,458.28,489.69,0.0,17.4871,1417.17,1417.17,1391.96,0.0,1.4414
32,2013,6,6,9.6197,452.74,489.69,0.0,17.4871,1539.15,1539.15,1513.94,0.0,1.4414
32,2014,6,6,9.3682,479.36,489.69,0.0,17.4871,1498.91,1498.91,1473.7,0.0,1.4414
32,2015,6,6,10.1615,480.19,489.69,0.0,17.4871,1625.85,1625.85,1600.64,0.0,1.4414
32,2016,6,6,6.1325,469.84,489.69,0.0,17.4871,981.2,981.2,955.99,0.0,1.4414
32,2017,6,6,9.0034,552.98,489.69,63.29,17.4871,1440.55,1440.55,1506.57,0.0,1.4414
32,2018,6,6,8.5744,507.55,489.69,17.86,17.4871,1371.9,1371.9,1372.43,0.0,1.4414
32,2019,6,6,9.6453,526.75,489.69,37.06,17.4871,1543.25,1543.25,1571.46,0.0,1.4414
32,2020,6,6,9.2162,494.9,489.69,5.21,17.4871,1474.6,1474.6,1456.9,0.0,1.4414
32,2021,6,6,8.3872,514.19,489.69,24.5,17.4871,1341.95,1341.95,1352.06,0.0,1.4414
32,2022,6,6,9.2581,517.43,489.69,27.74,17.4871,1481.3,1481.3,1496.08,0.0,1.4414
32,2023,6,6,8.9291,566.91,489.69,77.22,17.4871,1428.65,1428.65,1514.74,0.0,1.4414
32,2024,6,6,7.5,464.12,489.69,0.0,17.4871,1200.0,1200.0,1174.8,0.0,1.4414
44,2000,4,8,6.1056,2476.12,2521.26,45.14,15.3176,976.9,991.79,976.9,0.4995,0.0
44,2001,4,8,5.7033,2470.24,2521.26,51.03,15.3176,912.52,930.36,912.52,0.4995,0.0
44,2002,4,8,6.2091,2470.33,2521.26,50.93,15.3176,993.45,1011.24,993.45,0.4995,0.0
44,2003,4,8,4.8402,2783.66,2521.26,0.0,15.3176,774.44,766.79,774.44,0.4995,0.0
44,2004,4,8,7.1142,2413.51,2521.26,107.75,15.3176,1138.27,1184.44,1138.27,0.4995,0.0
44,2005,4,8,6.288,2448.21,2521.26,73.05,15.3176,1006.07,1034.91,1006.07,0.4995,0.0
44,2006,4,8,6.0864,2518.27,2521.26,2.99,15.3176,973.82,967.66,973.82,0.4995,0.0
44,2007,4,8,5.8333,2555.7,2521.26,0.0,15.3176,933.33,925.68,933.33,0.4995,0.0
44,2008,4,8,6.1026,2432.93,2521.26,88.33,15.3176,976.42,1012.89,976.42,0.4995,0.0
44,2009,4,8,6.9621,2581.01,2521.26,0.0,15.3176,1113.94,1106.29,1113.94,0.4995,0.0
44,2010,4,8,5.3621,2416.32,2521.26,104.95,15.3176,857.93,902.7,857.93,0.4995,0.0
44,2011,4,8,5.6291,2529.78,2521.26,0.0,15.3176,900.65,893.0,900.65,0.4995,0.0
44,2012,4,8,4.1961,2441.36,2521.26,79.9,15.3176,671.37,703.63,671.37,0.4995,0.0
44,2013,4,8,5.5281,2390.24,2521.26,131.03,15.3176,884.5,942.29,884.5,0.4995,0.0
44,2014,4,8,5.2301,2432.78,2521.26,88.48,15.3176,836.81,873.35,836.81,0.4995,0.0
44,2015,4,8,6.5971,2596.53,2521.26,0.0,15.3176,1055.53,1047.88,1055.53,0.4995,0.0
44,2016,4,8,3.644,2404.52,2521.26,116.74,15.3176,583.05,633.7,583.05,0.4995,0.0
44,2017,4,8,5.731,2544.45,2521.26,0.0,15.3176,916.97,909.32,916.97,0.4995,0.0
44,2018,4,8,5.848,2793.31,2521.26,0.0,15.3176,935.69,928.04,935.69,0.4995,0.0
44,2019,4,8,6.465,2556.31,2521.26,0.0,15.3176,1034.4,1026.75,1034.4,0.4995,0.0
44,2020,4,8,6.732,2586.37,2521.26,0.0,15.3176,1077.12,1069.47,1077.12,0.4995,0.0
44,2021,4,8,5.999,2290.97,2521.26,230.29,15.3176,959.84,1067.21,959.84,0.4995,0.0
44,2022,4,8,6.166,2722.41,2521.26,0.0,15.3176,986.56,978.91,986.56,0.4995,0.0
44,2023,4,8,6.233,2593.06,2521.26,0.0,15.3176,997.28,989.63,997.28,0.4995,0.0
44,2024,4,8,5.2,2583.16,2521.26,0.0,15.3176,832.0,824.35,832.0,0.4995,0.0
