year,wheat_yield,actual_index,strike,itm,premium,po_actual,rev_without,rev_with,z_star,rev_diff,region
2019,7.440000486831215,1390.0648809523811,1367.12505443522,True,25.600440029392768,14.32155697507374,1190.4000778929944,1167.2785427142737,2.0499844769528517,-23.121535178720706,52
2020,4.9,1425.0434523809524,1367.12505443522,True,5.869228218605186,36.15901957515976,784.0,846.0936020910775,2.0499844769528517,62.093602091077514,52
2021,6.7,1333.83125,1367.12505443522,False,46.693225355108254,0.0,1072.0,976.2796128431668,2.0499844769528517,-95.72038715683323,52
2022,6.679999480134645,1552.94375,1367.12505443522,True,52.22753674234258,116.00842027179372,1068.7999168215433,1199.549737983256,2.0499844769528517,130.7498211617126,52
2023,6.8,1536.9812499999998,1367.12505443522,True,51.49146528540156,106.04287615385566,1088.0,1199.829545476208,2.0499844769528517,111.82954547620807,52
2024,4.8,1352.3374999999999,1367.12505443522,False,38.607664256234145,0.0,768.0,688.8548875833126,2.0499844769528517,-79.14511241668743,52
2015,7.9,626.5767983405483,590.7168484735585,True,22.669798874109656,31.62442164339008,1264.0,1279.1128253047261,1.6877121118459604,15.11282530472613,53
2016,6.8,608.3081313131313,590.7168484735585,True,49.332112366383456,15.513522685621146,1088.0,1030.9239565902287,1.6877121118459604,-57.07604340977127,53
2017,7.709919999999999,641.8257575757575,590.7168484735585,True,38.57686034639481,45.072279720878335,1233.5872,1244.5495979498348,1.6877121118459604,10.962397949834894,53
2018,6.8994368463395,670.2542676767677,590.7168484735585,True,43.94732715006079,70.14301165057654,1103.90989541432,1148.1206694239359,1.6877121118459604,44.21077400961576,53
2019,7.8800096766389816,631.2408216783217,590.7168484735585,True,41.53138257834992,35.737562937102076,1260.801548262237,1251.023248679852,1.6877121118459604,-9.778299582384989,53
2020,6.78594315245478,671.7872111222111,590.7168484735585,True,27.223975580693647,71.49489446285013,1085.7509043927648,1160.4674703927303,1.6877121118459604,74.7165659999655,53
2021,7.432581330717672,587.6733333333333,590.7168484735585,False,49.667942482795354,0.0,1189.2130129148275,1105.3878248161452,1.6877121118459604,-83.82518809868225,53
2022,7.45899946066975,685.1769047619049,590.7168484735585,True,54.00372355132187,83.30309048398522,1193.43991370716,1242.888810148835,1.6877121118459604,49.44889644167506,53
2023,7.179999345742419,666.8166666666667,590.7168484735585,True,53.160095805955635,67.11143619694634,1148.799895318787,1172.3457414731479,1.6877121118459604,23.545846154360788,53
2024,6.522999243978832,618.2833333333334,590.7168484735585,True,45.23299272434355,24.310523123016033,1043.679879036613,1008.3687736807238,1.6877121118459604,-35.311105355889254,53
