year,wheat_yield,actual_index,strike,itm,premium,po_actual,rev_without,rev_with,z_star,rev_diff,region
2023,8.9,1815.576923076923,1672.3179140531456,True,67.62962965727837,66.2602988280822,1424.0,1422.3446173509517,1.2088989846377083,-1.6553826490483061,32
2024,7.500017796454488,1800.5939393939393,1672.3179140531456,True,71.59495195268403,59.33035436639736,1200.002847432718,1185.176187863666,1.2088989846377083,-14.826659569052026,32
2015,7.2,2807.2535643523147,2554.223663023172,True,90.8110706446701,100.80736428635844,1152.0,1158.1158336865137,0.6118101274064645,6.115833686513724,44
2016,4.18,2575.9930923243423,2554.223663023172,True,96.49735030387403,8.672962279721139,668.8,615.0681499735482,0.6118101274064645,-53.73185002645175,44
2017,6.2,2826.845436507937,2554.223663023172,True,95.70955033929037,108.61278563406893,992.0,999.894330029654,0.6118101274064645,7.894330029654043,44
2018,6.25,2963.853311516915,2554.223663023172,True,97.50801113044747,163.19685926955574,1000.0,1040.1891025491718,0.6118101274064645,40.18910254917182,44
2019,6.8,2809.98128963765,2554.223663023172,True,100.52517466702598,101.8940927523125,1088.0,1088.8375179481682,0.6118101274064645,0.8375179481681698,44
2020,7.0,2815.975666494668,2554.223663023172,True,108.97725019635669,104.2822584525752,1120.0,1117.1275565030649,0.6118101274064645,-2.8724434969351478,44
2021,6.2,2498.2526315789473,2554.223663023172,False,107.49466426827237,0.0,992.0,926.2336757585132,0.6118101274064645,-65.76632424148681,44
2022,6.3,2967.54854876161,2554.223663023172,True,106.88102357767205,164.66904546215108,1008.0,1043.3552970317107,0.6118101274064645,35.355297031710734,44
2023,6.3,2839.884210526316,2554.223663023172,True,114.24599586137924,113.80744616791813,1008.0,1007.7316908561695,0.6118101274064645,-0.26830914383049276,44
2024,5.2,2865.83125,2554.223663023172,True,119.27534947546921,124.14477249431833,832.0,834.979162317558,0.6118101274064645,2.979162317558007,44
2015,7.2,2975.862738095238,2511.7699590403163,True,67.09503302822422,58.30341162007142,1152.0,1119.9973520202843,3.6401303575286437,-32.002647979715675,52
2016,6.2,2912.8294642857145,2511.7699590403163,True,64.67581456858657,50.3846180629702,992.0,939.9781817544987,3.6401303575286437,-52.02181824550132,52
2017,7.1,3160.559523809524,2511.7699590403163,True,61.154952912574075,81.50664426750241,1136.0,1210.0828095281279,3.6401303575286437,74.08280952812788,52
2018,5.7,3110.470833333333,2511.7699590403163,True,67.99577429523094,75.21406297741922,912.0,938.2755117614391,3.6401303575286437,26.275511761439134,52
2019,7.440000486831215,3097.8562500000003,2511.7699590403163,True,68.90170106611151,73.62930820920951,1190.4000778929944,1207.6091841730547,3.6401303575286437,17.20910628006027,52
2020,4.9,3149.9636904761905,2511.7699590403163,True,63.8076335330826,80.17550260753296,784.0,843.581177105961,3.6401303575286437,59.581177105961046,52
2021,6.7,2867.50625,2511.7699590403163,True,71.48922033533482,44.69071775315305,1072.0,974.4499572142904,3.6401303575286437,-97.55004278570959,52
2022,6.679999480134645,3352.34375,2511.7699590403163,True,71.60222267720975,105.60026344552662,1068.7999168215433,1192.55721711879,3.6401303575286437,123.75730029724673,52
2023,6.8,3163.4437499999995,2511.7699590403163,True,74.2920363164881,81.86898609736483,1088.0,1115.5810849148395,3.6401303575286437,27.581084914839494,52
2024,4.8,3116.558035714286,2511.7699590403163,True,75.93703663426409,75.97879081212956,768.0,768.1519906504017,3.6401303575286437,0.1519906504016717,52
2015,7.9,2372.561544011544,2625.7122836449657,False,0.0,0.0,1264.0,1264.0,0.6942659349487358,0.0,53
2016,6.8,2537.4067424242426,2625.7122836449657,False,0.0,0.0,1088.0,1088.0,0.6942659349487358,0.0,53
2017,7.709919999999999,2475.365618686869,2625.7122836449657,False,0.0,0.0,1233.5872,1233.5872,0.6942659349487358,0.0,53
2018,6.8994368463395,2594.134768842269,2625.7122836449657,False,0.0,0.0,1103.90989541432,1103.90989541432,0.6942659349487358,0.0,53
2019,7.8800096766389816,2488.5210547785546,2625.7122836449657,False,0.0,0.0,1260.801548262237,1260.801548262237,0.6942659349487358,0.0,53
2020,6.78594315245478,2485.2856143856143,2625.7122836449657,False,0.0,0.0,1085.7509043927648,1085.7509043927648,0.6942659349487358,0.0,53
2021,7.432581330717672,2405.2566666666667,2625.7122836449657,False,0.0,0.0,1189.2130129148275,1189.2130129148275,0.6942659349487358,0.0,53
2022,7.45899946066975,2671.5602380952378,2625.7122836449657,True,0.0,8.754261293454967,1193.43991370716,1199.517699108846,0.6942659349487358,6.077785401686015,53
2023,7.179999345742419,2640.25,2625.7122836449657,True,0.0,2.775848325362934,1148.799895318787,1150.727072251671,0.6942659349487358,1.9271769328838673,53
2024,6.522999243978832,2455.59347985348,2625.7122836449657,False,0.0,0.0,1043.679879036613,1043.679879036613,0.6942659349487358,0.0,53
