region,eval_year,n_calib,window,option_type,index_type,spearman_rho,p_holm_sig,S,z_star,premium_EUR_ha,idx_mean,idx_std,actual_index,index_vs_S,payoff_EUR_ha,in_money,rev_unhedged,rev_hedged,net_benefit,better_off,xgb_forecast,xgb_dev_sigma,perfect_hedge,rev_hedged_perfect,net_benefit_perfect,better_off_perfect,xgb_hedge_t00,rev_hedged_xgb_t00,net_benefit_xgb_t00,better_off_xgb_t00,xgb_hedge_t05,rev_hedged_xgb_t05,net_benefit_xgb_t05,better_off_xgb_t05,xgb_hedge_t10,rev_hedged_xgb_t10,net_benefit_xgb_t10,better_off_xgb_t10,z_var,rev_hedged_xgb_var,net_benefit_xgb_var,better_off_xgb_var
52,2022,22,AprMay,call,cat,-0.4308,False,783.79,1.7956,21.76,783.79,60.65,860.62,76.83,76.83,True,1070.14,1169.02,98.88,True,805.11,0.352,True,1169.02,98.88,True,True,1169.02,98.88,True,False,1070.14,0.0,False,False,1070.14,0.0,False,0.6313,1104.91,34.77,True
53,2022,22,May,call,cat,-0.3958,False,408.19,2.0718,8.78,408.19,25.77,446.19,38.0,38.0,True,1188.97,1249.51,60.54,True,421.28,0.508,True,1249.51,60.54,True,True,1249.51,60.54,True,True,1249.51,60.54,True,False,1188.97,0.0,False,1.0522,1219.72,30.75,True
11,2023,23,MayJun,call,cat,-0.3636,False,992.23,0.4371,21.08,992.23,54.93,1077.96,85.73,85.73,True,1341.75,1370.0,28.26,True,1011.28,0.347,True,1370.0,28.26,True,True,1370.0,28.26,True,False,1341.75,0.0,False,False,1341.75,0.0,False,0.1516,1351.55,9.8,True
24,2023,23,AprMay,call,cat,-0.3142,False,766.62,0.0607,25.54,766.62,69.66,769.5,2.88,2.88,True,1104.99,1103.61,-1.38,False,807.94,0.593,False,1104.99,0.0,False,True,1103.61,-1.38,False,True,1103.61,-1.38,False,False,1104.99,0.0,False,0.036,1104.17,-0.82,False
27,2023,23,FebMarAprMayJunJul,put,cat,0.7143,False,2369.83,1.231,49.9,2369.83,137.88,2420.95,51.13,0.0,False,1036.2,974.76,-61.43,False,2332.84,-0.268,False,1036.2,0.0,False,True,974.76,-61.43,False,False,1036.2,0.0,False,False,1036.2,0.0,False,0.3302,1019.72,-16.48,False
28,2023,23,Jan,call,cat,-0.3557,False,168.4,1.2853,17.11,168.4,46.54,204.23,35.83,35.83,True,1413.55,1437.61,24.06,True,195.66,0.586,True,1437.61,24.06,True,True,1437.61,24.06,True,True,1437.61,24.06,True,False,1413.55,0.0,False,0.7527,1427.64,14.09,True
32,2023,23,FebMarApr,put,cat,0.2168,False,661.3,1.2482,46.1,661.3,115.08,685.39,24.09,0.0,False,1420.37,1362.84,-57.54,False,698.55,0.324,False,1420.37,0.0,False,False,1420.37,0.0,False,False,1420.37,0.0,False,False,1420.37,0.0,False,0.404,1401.75,-18.62,False
44,2023,23,Feb,put,cat,0.2362,False,108.22,1.2091,27.76,108.22,67.74,137.85,29.64,0.0,False,1019.78,986.21,-33.57,False,126.29,0.267,False,1019.78,0.0,False,False,1019.78,0.0,False,False,1019.78,0.0,False,False,1019.78,0.0,False,0.3226,1010.82,-8.96,False
52,2023,23,AprMay,call,cat,-0.4249,False,787.13,1.7528,22.62,787.13,61.38,822.71,35.59,35.59,True,1089.09,1111.82,22.73,True,811.55,0.398,True,1111.82,22.73,True,True,1111.82,22.73,True,False,1089.09,0.0,False,False,1089.09,0.0,False,0.6975,1098.13,9.05,True
53,2023,23,May,call,cat,-0.3834,False,409.84,1.3539,9.22,409.84,26.4,435.69,25.85,25.85,True,1144.31,1166.83,22.52,True,423.94,0.534,True,1166.83,22.52,True,True,1166.83,22.52,True,True,1166.83,22.52,True,False,1144.31,0.0,False,0.7233,1156.34,12.03,True
11,2024,24,May,call,cat,-0.367,False,449.13,0.0,15.29,449.13,39.88,464.62,15.48,15.48,True,1049.68,1049.68,0.0,True,468.89,0.495,True,1049.68,0.0,True,True,1049.68,0.0,True,False,1049.68,0.0,False,False,1049.68,0.0,False,0.0,1049.68,0.0,True
24,2024,24,AprMayJun,call,cat,-0.3191,False,1315.26,0.2159,32.17,1315.26,84.5,1309.02,-6.24,0.0,False,1008.78,1001.84,-6.95,False,1332.08,0.199,False,1008.78,0.0,False,True,1001.84,-6.95,False,False,1008.78,0.0,False,False,1008.78,0.0,False,0.043,1007.4,-1.38,False
27,2024,24,FebMarApr,put,cat,0.6868,False,680.91,1.2207,36.17,680.91,92.53,836.29,155.38,0.0,False,845.06,800.91,-44.15,False,689.69,0.095,False,845.06,0.0,False,False,845.06,0.0,False,False,845.06,0.0,False,False,845.06,0.0,False,0.1158,840.87,-4.19,False
28,2024,24,Jan,call,cat,-0.3913,False,169.9,1.1861,17.11,169.9,46.1,160.28,-9.62,0.0,False,1189.97,1169.68,-20.29,False,198.02,0.61,False,1189.97,0.0,False,True,1169.68,-20.29,False,True,1169.68,-20.29,False,False,1189.97,0.0,False,0.7235,1177.59,-12.38,False
32,2024,24,FebMarAprMayJunJul,put,cat,0.2485,False,2158.72,1.2405,65.7,2158.72,164.27,2308.64,149.93,0.0,False,1196.31,1114.81,-81.5,False,2198.22,0.241,False,1196.31,0.0,False,False,1196.31,0.0,False,False,1196.31,0.0,False,False,1196.31,0.0,False,0.2984,1176.71,-19.6,False
44,2024,24,Apr,put,cat,0.2226,False,312.18,3.6789,17.08,312.18,46.64,324.92,12.74,0.0,False,843.02,780.18,-62.84,False,330.49,0.393,False,843.02,0.0,False,False,843.02,0.0,False,False,843.02,0.0,False,False,843.02,0.0,False,1.4441,818.36,-24.67,False
52,2024,24,AprMay,call,cat,-0.4026,False,788.61,1.793,22.44,788.61,60.47,806.0,17.39,17.39,True,768.69,759.64,-9.05,False,811.59,0.38,False,768.69,0.0,False,True,759.64,-9.05,False,False,768.69,0.0,False,False,768.69,0.0,False,0.6813,765.25,-3.44,False
53,2024,24,May,call,cat,-0.3565,False,410.92,1.1659,9.35,410.92,26.35,428.81,17.89,17.89,True,1039.66,1049.62,9.96,True,424.11,0.501,True,1049.62,9.96,True,True,1049.62,9.96,True,True,1049.62,9.96,True,False,1039.66,0.0,False,0.5836,1044.65,4.98,True
