region,calibration_year,calibration_end,prediction_year,train_start,train_end,prediction_start,prediction_end,n_calibration_rows,n_prediction_rows,fit_MAE,fit_MAPE,fit_Bias,fit_R2,fit_RMSE,pred_year_MAE,pred_year_MAPE,pred_year_Bias,pred_year_R2,pred_year_RMSE,export_path
32,2014,2014-12-31,2015,1978-01-01,2014-12-31,2015-01-01,2015-12-31,13505,365,1.466391520956012,0.16559075665846673,0.0384294152285713,0.5264757777410748,1.9020025518189303,1.5560414512112646,0.15790852002225914,0.15554673354021675,0.431682884697986,1.9442186631321037,../Outputs/FeedForwardNN_rolling_exports/paper_ffnn_region_32_calib_2014_predict_2015.pkl
32,2015,2015-12-31,2016,1978-01-01,2015-12-31,2016-01-01,2016-12-31,13870,365,1.4597363611426852,0.1633266724852792,0.04018863061905584,0.5292490343688177,1.8942983000494695,1.367330296210333,0.1379279721332213,0.12650884214709543,0.5765095145023238,1.7633262445820974,../Outputs/FeedForwardNN_rolling_exports/paper_ffnn_region_32_calib_2015_predict_2016.pkl
32,2016,2016-12-31,2017,1978-01-01,2016-12-31,2017-01-01,2017-12-31,14235,365,1.462254123423168,0.163194449705593,0.09830904930635448,0.5287477506868709,1.8960173316520441,1.5526887810029175,0.15008557991264285,0.2040367177411971,0.554782649132308,1.879358048144627,../Outputs/FeedForwardNN_rolling_exports/paper_ffnn_region_32_calib_2016_predict_2017.pkl
32,2017,2017-12-31,2018,1978-01-01,2017-12-31,2018-01-01,2018-12-31,14600,365,1.4587512680201067,0.16341930377015623,-0.0025091566492100492,0.5306619551030625,1.8951041101488764,1.5181332666175205,0.15230442165183253,0.06739947597407216,0.6331462450888827,1.8927496198336264,../Outputs/FeedForwardNN_rolling_exports/paper_ffnn_region_32_calib_2017_predict_2018.pkl
32,2018,2018-12-31,2019,1978-01-01,2018-12-31,2019-01-01,2019-12-31,14965,365,1.4666636112348308,0.1635718768820287,0.013853548803695416,0.5302744775000019,1.9033230098150287,1.43214705270784,0.1495461983968192,0.1003554542348635,0.5488734771568511,1.8298553414574559,../Outputs/FeedForwardNN_rolling_exports/paper_ffnn_region_32_calib_2018_predict_2019.pkl
32,2019,2019-12-31,2020,1978-01-01,2019-12-31,2020-01-01,2020-12-31,15330,365,1.4553346679227983,0.16215299853713347,-0.020344677341660587,0.5369395123250864,1.8908756500729564,1.548686951658648,0.15708974256490968,0.02156611273833861,0.5326531177531746,1.9421641522341015,../Outputs/FeedForwardNN_rolling_exports/paper_ffnn_region_32_calib_2019_predict_2020.pkl
32,2020,2020-12-31,2021,1978-01-01,2020-12-31,2021-01-01,2021-12-31,15695,365,1.451889091237812,0.1625333980875575,-0.0184550977357444,0.543582101212641,1.8795188153718452,1.3347433439452738,0.13503140180770448,0.06951715973402665,0.6043142550794911,1.7504745860804498,../Outputs/FeedForwardNN_rolling_exports/paper_ffnn_region_32_calib_2020_predict_2021.pkl
32,2021,2021-12-31,2022,1978-01-01,2021-12-31,2022-01-01,2022-12-31,16060,365,1.457694961603577,0.16167610252155615,0.038606660363686984,0.5419251136182042,1.884607468913283,1.4056999092753713,0.1378028464828232,0.16622999068374797,0.6160441517629809,1.8299966712270401,../Outputs/FeedForwardNN_rolling_exports/paper_ffnn_region_32_calib_2021_predict_2022.pkl
32,2022,2022-12-31,2023,1978-01-01,2022-12-31,2023-01-01,2023-12-31,16425,365,1.457697423525406,0.16300454543595339,0.0013134977857317252,0.5437396191945436,1.8855998907399205,1.4222273266210876,0.13695563953193401,0.048237735301533725,0.5524727006705707,1.8127940412288743,../Outputs/FeedForwardNN_rolling_exports/paper_ffnn_region_32_calib_2022_predict_2023.pkl
32,2023,2023-12-31,2024,1978-01-01,2023-12-31,2024-01-01,2024-12-30,16790,364,1.4390007203612007,0.15981401257292477,0.014147137294342643,0.5544835029399512,1.8631985492384169,1.386728228721776,0.1307373595796303,0.182436719043887,0.5666667872808611,1.810050299998932,../Outputs/FeedForwardNN_rolling_exports/paper_ffnn_region_32_calib_2023_predict_2024.pkl
