model,region,oos_year,instrument,act_revenue,act_cCDD,K,N_sv,V_sv,act_payoff,hedged_revenue,revenue_change
Benth,11,2022,call,1376.0,274.67,195.9,0.02001,954.8756,1575.4,1388.34,12.34
Benth,11,2023,call,1343.98,204.18,197.4,0.01546,1094.5922,135.6,1329.09,-14.9
Benth,11,2024,call,1052.32,249.74,197.5,0.01722,966.0946,1044.8,1053.6,1.29
Benth,24,2015,call,1216.0,803.34,694.5,0.04343,2126.257,2176.8,1217.66,1.66
Benth,24,2016,call,576.0,627.85,696.8,0.03909,2514.2064,0.0,477.15,-98.85
Benth,24,2017,call,1104.0,444.36,341.5,0.01996,959.0728,2057.2,1125.82,21.82
Benth,24,2018,call,1104.0,279.59,182.4,0.00249,971.2575,1943.8,1106.41,2.41
Benth,24,2019,call,1224.0,151.65,184.4,-0.00451,1103.7581,0.0,1229.0,5.0
Benth,24,2020,call,976.0,284.4,183.7,0.00075,938.9212,2014.0,976.8,0.8
Benth,24,2021,call,1168.0,115.78,185.7,0.0068,1227.8596,0.0,1159.62,-8.38
Benth,24,2022,call,1128.0,282.26,184.3,0.01702,946.0595,1959.2,1145.18,17.18
Benth,24,2023,call,1104.0,214.72,186.2,0.00408,1081.1131,570.4,1101.9,-2.1
Benth,24,2024,call,1008.0,237.81,186.7,0.00833,999.9917,1022.2,1008.15,0.15
Benth,27,2015,call,1088.0,806.22,539.2,0.0436,3984.7452,5340.4,1146.09,58.09
Benth,27,2016,call,800.0,630.8,545.4,0.03813,4363.5213,1708.0,697.78,-102.22
Benth,27,2017,call,1286.61,775.38,547.3,0.03027,3904.7996,4561.6,1305.8,19.19
Benth,27,2018,call,1040.0,751.13,498.2,0.03035,3376.6108,5058.6,1090.36,50.36
Benth,27,2019,call,1264.0,711.41,503.7,0.02764,3497.3145,4154.2,1281.51,17.51
Benth,27,2020,call,1344.0,257.25,148.9,0.00725,859.8321,2167.0,1353.45,9.45
Benth,27,2021,call,976.0,531.65,511.8,0.02724,3719.3976,397.0,884.82,-91.18
Benth,27,2022,call,1072.0,672.79,456.1,0.01511,3033.4914,4333.8,1091.38,19.38
Benth,27,2023,put,1040.0,27.65,39.3,-0.00637,41.5677,233.0,1038.78,-1.22
Benth,27,2024,put,848.0,67.27,39.1,0.00118,57.3913,0.0,847.93,-0.07
Benth,28,2015,call,1536.0,538.55,479.6,0.03572,1922.3043,1179.0,1509.05,-26.95
Benth,28,2016,call,1040.0,510.95,480.8,0.03631,2069.2496,603.0,986.32,-53.68
Benth,28,2017,call,1520.0,854.54,692.2,0.0273,2306.2307,3246.8,1545.26,25.26
Benth,28,2018,put,1376.0,70.76,29.7,0.07966,20.1409,0.0,1374.39,-1.61
Benth,28,2019,call,1568.0,820.71,700.0,0.00943,2431.7888,2414.2,1567.68,-0.32
Benth,28,2020,call,1344.0,801.23,702.5,0.00872,2418.736,1974.6,1339.99,-4.01
Benth,28,2021,call,1248.0,72.93,114.0,0.01297,1103.6175,0.0,1233.63,-14.37
Benth,28,2022,put,1568.0,46.95,31.6,-0.01045,21.4596,0.0,1568.22,0.22
Benth,28,2023,put,1424.0,41.95,31.9,0.00991,18.8482,0.0,1423.81,-0.19
Benth,28,2024,put,1200.0,47.77,24.7,-0.04124,42.3958,0.0,1201.75,1.75
Benth,32,2015,call,1584.0,180.19,137.9,0.08285,1449.2157,845.8,1533.41,-50.59
Benth,32,2016,put,944.0,274.87,206.3,0.72961,0.0828,0.0,943.94,-0.06
Benth,32,2017,call,1408.0,399.87,224.5,0.07926,1538.654,3507.4,1563.44,155.44
Benth,32,2018,call,1344.0,357.94,228.4,0.02049,1646.4513,2590.8,1363.18,19.18
Benth,32,2019,call,1520.0,299.53,231.2,0.01923,1820.5842,1366.6,1511.1,-8.9
Benth,32,2020,call,1456.0,313.49,232.7,0.02325,1767.6896,1615.8,1452.26,-3.74
Benth,32,2021,call,1328.0,269.67,234.4,0.0239,1819.8458,705.4,1301.15,-26.85
Benth,32,2022,call,1472.0,355.29,235.1,0.01784,1599.2863,2403.8,1486.21,14.21
Benth,32,2023,put,1424.0,255.37,216.4,-0.00407,0.5352,0.0,1424.0,0.0
Benth,32,2024,put,1200.0,295.19,217.2,-0.09238,0.5557,0.0,1200.05,0.05
Benth,44,2015,call,1152.0,1.52,10.4,0.42473,45.65,0.0,1132.56,-19.44
Benth,44,2016,call,668.8,0.4,10.2,0.46999,50.3655,0.0,645.07,-23.73
Benth,44,2017,put,992.0,16.73,38.8,0.04278,79.6604,441.4,1007.46,15.46
Benth,44,2018,put,1000.0,934.84,675.2,0.01601,163.3288,0.0,997.37,-2.63
Benth,44,2019,put,1088.0,761.65,680.5,0.02585,93.2117,0.0,1085.58,-2.42
Benth,44,2020,put,1120.0,734.69,682.1,0.03398,98.8109,0.0,1116.62,-3.38
Benth,44,2021,put,992.0,853.28,976.6,0.00855,15.928,2466.4,1012.95,20.95
Benth,44,2022,put,1008.0,1245.06,974.3,0.01342,60.9052,0.0,1007.18,-0.82
Benth,44,2023,put,1008.0,1126.7,979.4,0.01498,51.712,0.0,1007.22,-0.78
Benth,44,2024,put,832.0,1109.1,982.1,0.02058,43.2538,0.0,831.1,-0.9
Benth,52,2015,call,1152.0,456.61,415.4,0.03826,1658.0685,824.2,1119.78,-32.22
Benth,52,2016,call,992.0,358.21,416.3,0.03774,1852.7813,0.0,921.73,-70.27
Benth,52,2017,call,1136.0,534.04,415.1,0.02799,1436.5886,2378.8,1162.17,26.17
Benth,52,2018,call,912.0,264.24,178.0,0.05395,638.6737,1724.8,970.45,58.45
Benth,52,2019,call,1190.4,428.52,420.3,0.03072,1700.7693,164.4,1142.94,-47.46
Benth,52,2020,call,784.0,498.41,420.5,0.03423,1511.8928,1558.2,785.33,1.33
Benth,52,2021,call,1072.0,131.77,181.6,0.08242,905.4341,0.0,997.06,-74.94
Benth,52,2022,call,1068.8,277.52,180.6,0.08245,605.5959,1938.4,1178.48,109.68
Benth,52,2023,call,1088.0,222.82,182.5,0.07569,755.6276,806.4,1091.61,3.61
Benth,52,2024,call,768.0,207.96,183.2,0.07148,764.7915,495.2,748.5,-19.5
Benth,53,2015,call,1264.0,153.92,142.6,0.05358,756.0633,226.4,1235.45,-28.55
Benth,53,2016,call,1088.0,106.84,99.1,0.03305,290.0452,154.8,1083.49,-4.51
Benth,53,2017,call,1233.59,136.85,99.3,0.06332,232.1263,751.0,1266.38,32.79
Benth,53,2018,call,1103.91,120.77,100.1,0.02555,263.4348,413.4,1107.71,3.8
Benth,53,2019,call,1260.8,84.44,100.5,0.03285,309.4842,0.0,1250.59,-10.21
Benth,53,2020,call,1085.75,141.58,100.2,0.04543,259.7249,827.6,1111.5,25.75
Benth,53,2021,call,1189.21,54.78,101.0,0.06476,350.4804,0.0,1166.42,-22.79
